contig	genus
NODE_2371_length_1422_cov_2.268471	Usarudivirus
NODE_2373_length_1422_cov_1.098025	Webervirus
NODE_2374_length_1421_cov_2.376281	Johnsonvirus
NODE_2376_length_1420_cov_2.833700	Caeruleovirus
NODE_2377_length_1420_cov_2.501832	Wphvirus
NODE_2378_length_1420_cov_1.561905	Nezavisimistyvirus
NODE_2379_length_1419_cov_1.415689	Bixzunavirus
NODE_2380_length_1418_cov_3.118122	Machinavirus
NODE_2381_length_1418_cov_1.624358	Bixzunavirus
NODE_2382_length_1418_cov_1.599413	Jenstvirus
NODE_2383_length_1417_cov_3.844347	Moonbeamvirus
NODE_2384_length_1416_cov_6.003674	Felixounavirus
NODE_2385_length_1416_cov_3.714181	Caeruleovirus
NODE_2387_length_1415_cov_1.459559	Unaquatrovirus
NODE_2388_length_1413_cov_6.656848	Wphvirus
NODE_2390_length_1410_cov_1.401476	Certrevirus
NODE_2391_length_1409_cov_2.909158	Caeruleovirus
NODE_2392_length_1409_cov_2.593058	Moonvirus
NODE_2393_length_1409_cov_2.112260	Hoswirudivirus
NODE_2394_length_1408_cov_2.233555	Alisovirus
NODE_2396_length_1407_cov_1.714497	Samistivirus
NODE_2397_length_1407_cov_1.448964	Triavirus
NODE_2399_length_1403_cov_2.945846	Libanvirus
NODE_2400_length_1403_cov_1.866469	Kuravirus
NODE_2402_length_1402_cov_1.799555	Bottigliavirus
NODE_2404_length_1401_cov_1.331352	Nezavisimistyvirus
NODE_2405_length_1401_cov_1.318722	Otagovirus
NODE_2406_length_1400_cov_1.686989	Pagevirus
NODE_2407_length_1399_cov_6.527530	Potamoivirus
NODE_2408_length_1399_cov_2.037946	Slashvirus
NODE_2409_length_1399_cov_1.534970	Hoswirudivirus
NODE_2410_length_1399_cov_1.233631	Colunavirus
NODE_2411_length_1398_cov_2.454207	Slashvirus
NODE_2412_length_1397_cov_6.048435	Wphvirus
NODE_2413_length_1397_cov_2.008197	Triavirus
NODE_2414_length_1395_cov_2.360448	Wphvirus
NODE_2415_length_1395_cov_1.450000	Bixzunavirus
NODE_2416_length_1394_cov_2.909634	Moonvirus
NODE_2417_length_1394_cov_2.833458	Epseptimavirus
NODE_2418_length_1394_cov_1.632562	Seunavirus
NODE_2419_length_1393_cov_2.801943	Tulanevirus
NODE_2420_length_1393_cov_2.207773	Pollockvirus
NODE_2421_length_1391_cov_2.470060	Wphvirus
NODE_2422_length_1391_cov_1.404940	Pleetrevirus
NODE_2423_length_1390_cov_3.265169	Bequatrovirus
NODE_2424_length_1390_cov_2.379026	Phietavirus
NODE_2425_length_1390_cov_2.175281	Wphvirus
NODE_2426_length_1390_cov_1.772285	Nonagvirus
NODE_2427_length_1388_cov_3.476369	Gaprivervirus
NODE_2428_length_1388_cov_2.797449	Johnsonvirus
NODE_2429_length_1388_cov_1.507877	Fernvirus
NODE_2431_length_1387_cov_2.927177	Wphvirus
NODE_2432_length_1387_cov_2.655405	Chiangmaivirus
NODE_2434_length_1384_cov_2.948081	Kochikohdavirus
NODE_2435_length_1384_cov_1.462754	Otagovirus
NODE_2436_length_1383_cov_1.550452	Otagovirus
NODE_2437_length_1383_cov_1.536898	Certrevirus
NODE_2438_length_1382_cov_3.092690	Felixounavirus
NODE_2439_length_1379_cov_2.485650	Machinavirus
NODE_2441_length_1379_cov_1.651813	Jenstvirus
NODE_2443_length_1375_cov_1.350758	Friunavirus
NODE_2444_length_1374_cov_2.136467	Fukuivirus
NODE_2445_length_1373_cov_1.706373	Friunavirus
NODE_2446_length_1371_cov_4.040274	Neptunevirus
NODE_2447_length_1371_cov_1.768997	Derbicusvirus
NODE_2448_length_1371_cov_1.722644	Jesfedecavirus
NODE_2450_length_1370_cov_5.671483	Wphvirus
NODE_2451_length_1369_cov_1.458904	Bixzunavirus
NODE_2452_length_1368_cov_3.417365	Moonvirus
NODE_2453_length_1368_cov_2.071592	Fukuivirus
NODE_2454_length_1368_cov_1.770754	Bottigliavirus
NODE_2456_length_1365_cov_2.164885	Alisovirus
NODE_2457_length_1365_cov_1.865649	Tlsvirus
NODE_2458_length_1365_cov_1.604580	Vequintavirus
NODE_2459_length_1364_cov_3.556150	Machinavirus
NODE_2460_length_1364_cov_2.918258	Mosigvirus
NODE_2461_length_1361_cov_3.189893	Chiangmaivirus
NODE_2462_length_1361_cov_1.911945	Kuttervirus
NODE_2464_length_1360_cov_1.336398	Nezavisimistyvirus
NODE_2465_length_1359_cov_5.644172	Gelderlandvirus
NODE_2466_length_1359_cov_1.947086	Rudivirus
NODE_2467_length_1358_cov_2.734459	Chiangmaivirus
NODE_2468_length_1358_cov_2.160399	Sokavirus
NODE_2469_length_1357_cov_3.410906	Chalconvirus
NODE_2470_length_1357_cov_2.824117	Tequintavirus
NODE_2471_length_1357_cov_2.293395	Epseptimavirus
NODE_2472_length_1356_cov_1.554189	Tlsvirus
NODE_2473_length_1355_cov_2.821538	Seunavirus
NODE_2474_length_1355_cov_1.634615	Acadevirus
NODE_2475_length_1353_cov_2.940678	Slashvirus
NODE_2476_length_1353_cov_1.726502	Rudivirus
NODE_2477_length_1352_cov_2.359291	Caeruleovirus
NODE_2478_length_1352_cov_2.032382	Lilyvirus
NODE_2479_length_1351_cov_1.789352	Jenstvirus
NODE_2480_length_1350_cov_6.018533	Fipvunavirus
NODE_2482_length_1348_cov_1.745553	Lilyvirus
NODE_2484_length_1348_cov_1.566899	Pleetrevirus
NODE_2485_length_1347_cov_1.589783	Certrevirus
NODE_2486_length_1345_cov_2.100000	Pollockvirus
NODE_2487_length_1345_cov_1.930233	Certrevirus
NODE_2488_length_1345_cov_1.861240	Pacinivirus
NODE_2489_length_1345_cov_1.231008	Webervirus
NODE_2490_length_1343_cov_9.190994	Tequatrovirus
NODE_2491_length_1342_cov_3.433566	Alisovirus
NODE_2492_length_1341_cov_2.257387	Libanvirus
NODE_2493_length_1341_cov_1.982115	Certrevirus
NODE_2494_length_1339_cov_3.366822	Wphvirus
NODE_2495_length_1339_cov_2.525701	Emdodecavirus
NODE_2496_length_1339_cov_1.691589	Friunavirus
NODE_2497_length_1339_cov_0.972741	Cheoctovirus
NODE_2499_length_1338_cov_1.616524	Acadevirus
NODE_2500_length_1336_cov_3.382514	Felixounavirus
NODE_2501_length_1336_cov_3.241218	Seunavirus
NODE_2502_length_1336_cov_2.179547	Seunavirus
NODE_2503_length_1335_cov_2.884375	Cecivirus
NODE_2504_length_1335_cov_1.062500	Chivirus
NODE_2505_length_1334_cov_1.953088	Pollockvirus
NODE_2506_length_1334_cov_1.538702	Otagovirus
NODE_2507_length_1332_cov_4.540329	Nereusvirus
NODE_2508_length_1332_cov_1.245889	Nezavisimistyvirus
NODE_2509_length_1331_cov_1.952194	Chiangmaivirus
NODE_2510_length_1330_cov_1.719216	Wphvirus
NODE_2512_length_1329_cov_2.137363	Kuttervirus
NODE_2513_length_1328_cov_2.580518	Seoulvirus
NODE_2514_length_1327_cov_2.943396	Gaprivervirus
NODE_2515_length_1327_cov_2.273585	Johnsonvirus
NODE_2516_length_1326_cov_3.950433	Caeruleovirus
NODE_2517_length_1326_cov_1.722266	Tequintavirus
NODE_2518_length_1325_cov_2.844882	Alisovirus
NODE_2519_length_1325_cov_2.025197	Nezavisimistyvirus
NODE_2520_length_1325_cov_1.791339	Jenstvirus
NODE_2521_length_1325_cov_1.753543	Bixzunavirus
NODE_2523_length_1323_cov_5.899842	Potamoivirus
NODE_2524_length_1323_cov_2.208991	Derbicusvirus
NODE_2525_length_1321_cov_3.105845	Pseudotevenvirus
NODE_2526_length_1321_cov_1.119273	Unaquatrovirus
NODE_2529_length_1319_cov_1.996835	Chiangmaivirus
NODE_2530_length_1319_cov_1.154272	Litunavirus
NODE_2531_length_1318_cov_1.660333	Nezavisimistyvirus
NODE_2532_length_1317_cov_2.837559	Schiekvirus
NODE_2534_length_1316_cov_1.415543	Kuravirus
NODE_2536_length_1314_cov_1.675933	Bixzunavirus
NODE_2537_length_1313_cov_1.457870	Samistivirus
NODE_2538_length_1313_cov_1.228935	Nonagvirus
NODE_2539_length_1312_cov_2.638027	Wphvirus
NODE_2540_length_1311_cov_1.779459	Hoswirudivirus
NODE_2541_length_1310_cov_2.154582	Rosemountvirus
NODE_2542_length_1310_cov_1.769721	Nezavisimistyvirus
NODE_2543_length_1309_cov_5.161085	Kayvirus
NODE_2544_length_1309_cov_2.115630	Derbicusvirus
NODE_2545_length_1309_cov_1.596491	Pseudotevenvirus
NODE_2546_length_1308_cov_1.174781	Pleetrevirus
NODE_2547_length_1304_cov_1.687750	Bixzunavirus
NODE_2548_length_1304_cov_1.538831	Vequintavirus
NODE_2549_length_1304_cov_1.416333	Bixzunavirus
NODE_2550_length_1304_cov_1.385909	Tlsvirus
NODE_2551_length_1303_cov_2.716346	Wphvirus
NODE_2552_length_1302_cov_4.275060	Kayvirus
NODE_2553_length_1302_cov_2.363272	Mooglevirus
NODE_2555_length_1300_cov_1.812851	Derbicusvirus
NODE_2556_length_1298_cov_3.443282	Eldridgevirus
NODE_2558_length_1298_cov_1.612228	Bixzunavirus
NODE_2559_length_1298_cov_1.477072	Nezavisimistyvirus
NODE_2560_length_1298_cov_1.452132	Jenstvirus
NODE_2561_length_1297_cov_2.307568	Chiangmaivirus
NODE_2562_length_1296_cov_2.414182	Slashvirus
NODE_2563_length_1296_cov_2.312651	Pacinivirus
NODE_2565_length_1295_cov_2.221774	Sokavirus
NODE_2566_length_1295_cov_2.193548	Certrevirus
NODE_2567_length_1294_cov_2.154157	Chiangmaivirus
NODE_2568_length_1293_cov_2.313409	Usarudivirus
NODE_2570_length_1292_cov_2.789006	Wphvirus
NODE_2571_length_1292_cov_1.974939	Rudivirus
NODE_2572_length_1291_cov_5.991909	Gaprivervirus
NODE_2573_length_1291_cov_1.631877	Derbicusvirus
NODE_2574_length_1291_cov_1.451456	Rockvillevirus
NODE_2575_length_1290_cov_5.139271	Silviavirus
NODE_2576_length_1290_cov_1.306883	Flaumdravirus
NODE_2578_length_1289_cov_1.561588	Unahavirus
NODE_2579_length_1288_cov_1.729116	Certrevirus
NODE_2580_length_1288_cov_1.294404	Unaquatrovirus
NODE_2581_length_1287_cov_1.502435	Nonagvirus
NODE_2582_length_1287_cov_1.387175	Jesfedecavirus
NODE_2583_length_1286_cov_2.318440	Certrevirus
NODE_2584_length_1286_cov_1.387490	Nonagvirus
NODE_2585_length_1286_cov_1.323314	Nezavisimistyvirus
NODE_2586_length_1285_cov_2.752033	Erskinevirus
NODE_2587_length_1285_cov_2.438211	Tequintavirus
NODE_2588_length_1285_cov_2.271545	Derbicusvirus
NODE_2589_length_1285_cov_1.594309	Copernicusvirus
NODE_2590_length_1284_cov_2.685110	Tequintavirus
NODE_2591_length_1283_cov_2.359935	Caeruleovirus
NODE_2592_length_1283_cov_1.356678	Punavirus
NODE_2594_length_1282_cov_1.487368	Samistivirus
NODE_2595_length_1279_cov_1.674837	Citrovirus
NODE_2596_length_1278_cov_3.291087	Moonbeamvirus
NODE_2597_length_1278_cov_2.941946	Gelderlandvirus
NODE_2598_length_1277_cov_2.768412	Wphvirus
NODE_2600_length_1277_cov_1.864975	Hubeivirus
NODE_2601_length_1276_cov_2.497952	Caeruleovirus
NODE_2602_length_1276_cov_2.167076	Machinavirus
NODE_2603_length_1276_cov_1.810811	Moonvirus
NODE_2605_length_1274_cov_1.762920	Nezavisimistyvirus
NODE_2606_length_1273_cov_1.628900	Suspvirus
NODE_2608_length_1272_cov_1.682005	Dubowvirus
NODE_2609_length_1272_cov_1.565325	Wellingtonvirus
NODE_2610_length_1272_cov_1.239113	Demosthenesvirus
NODE_2611_length_1271_cov_1.801809	Obolenskvirus
NODE_2612_length_1270_cov_9.647737	Tequatrovirus
NODE_2613_length_1270_cov_2.035391	Pakpunavirus
NODE_2614_length_1270_cov_1.807407	Cecivirus
NODE_2615_length_1270_cov_1.580247	Rockefellervirus
NODE_2616_length_1269_cov_1.654860	Bixzunavirus
NODE_2618_length_1268_cov_1.397362	Pahexavirus
NODE_2619_length_1267_cov_3.532178	Machinavirus
NODE_2620_length_1267_cov_2.412541	Wphvirus
NODE_2621_length_1266_cov_2.836499	Pseudotevenvirus
NODE_2623_length_1264_cov_2.487179	Machinavirus
NODE_2625_length_1263_cov_1.765728	Certrevirus
NODE_2626_length_1262_cov_2.284176	Pacinivirus
NODE_2628_length_1261_cov_2.178275	Pseudotevenvirus
NODE_2629_length_1260_cov_0.942739	Bixzunavirus
NODE_2631_length_1256_cov_3.766028	Tequatrovirus
NODE_2632_length_1256_cov_2.838468	Bequatrovirus
NODE_2635_length_1253_cov_3.629382	Caeruleovirus
NODE_2636_length_1253_cov_1.715359	Fukuivirus
NODE_2637_length_1253_cov_1.324708	Mingyongvirus
NODE_2638_length_1251_cov_4.704013	Dhakavirus
NODE_2639_length_1251_cov_1.737458	Jesfedecavirus
NODE_2640_length_1251_cov_1.602843	Vequintavirus
NODE_2641_length_1250_cov_2.789121	Ficleduovirus
NODE_2642_length_1250_cov_2.548117	Kuravirus
NODE_2643_length_1250_cov_2.322176	Pakpunavirus
NODE_2644_length_1250_cov_2.045188	Pollockvirus
NODE_2645_length_1249_cov_1.762982	Rudivirus
NODE_2646_length_1247_cov_3.093121	Gaprivervirus
NODE_2649_length_1245_cov_2.854622	Gelderlandvirus
NODE_2651_length_1245_cov_1.363025	Nonagvirus
NODE_2652_length_1245_cov_1.298319	Nezavisimistyvirus
NODE_2653_length_1244_cov_2.437342	Caeruleovirus
NODE_2654_length_1244_cov_1.256518	Jujuvirus
NODE_2655_length_1242_cov_2.715249	Machinavirus
NODE_2656_length_1242_cov_2.148273	Seoulvirus
NODE_2657_length_1242_cov_1.512216	Friunavirus
NODE_2658_length_1241_cov_3.208263	Wphvirus
NODE_2659_length_1240_cov_1.511392	Rerduovirus
NODE_2660_length_1239_cov_3.064189	Alisovirus
NODE_2661_length_1239_cov_2.148649	Pacinivirus
NODE_2663_length_1239_cov_1.651182	Certrevirus
NODE_2664_length_1237_cov_1.913706	Jenstvirus
NODE_2665_length_1237_cov_1.396785	Bixzunavirus
NODE_2666_length_1236_cov_2.850974	Wphvirus
NODE_2667_length_1234_cov_17.986429	Tequatrovirus
NODE_2668_length_1232_cov_2.423110	Mosigvirus
NODE_2669_length_1231_cov_4.607143	Tequatrovirus
NODE_2670_length_1231_cov_2.208333	Derbicusvirus
NODE_2671_length_1231_cov_1.311224	Skunavirus
NODE_2672_length_1230_cov_1.331915	Samistivirus
NODE_2673_length_1229_cov_3.375639	Wphvirus
NODE_2674_length_1229_cov_3.323680	Gelderlandvirus
NODE_2677_length_1226_cov_1.849701	Rosemountvirus
NODE_2678_length_1226_cov_1.643894	Rosemountvirus
NODE_2679_length_1226_cov_1.222032	Dubowvirus
NODE_2680_length_1225_cov_3.465812	Eldridgevirus
NODE_2681_length_1225_cov_3.094017	Gaprivervirus
NODE_2682_length_1225_cov_1.304274	Skunavirus
NODE_2683_length_1224_cov_1.905902	Derbicusvirus
NODE_2685_length_1222_cov_3.120823	Tequatrovirus
NODE_2687_length_1221_cov_2.173242	Pseudotevenvirus
NODE_2688_length_1221_cov_1.615780	Rockvillevirus
NODE_2689_length_1220_cov_1.514163	Bixzunavirus
NODE_2690_length_1219_cov_2.935567	Moonvirus
NODE_2691_length_1219_cov_2.300687	Seunavirus
NODE_2694_length_1218_cov_2.259673	Wphvirus
NODE_2695_length_1217_cov_2.714286	Kochikohdavirus
NODE_2696_length_1217_cov_1.654905	Bottigliavirus
NODE_2697_length_1217_cov_1.517212	Jesfedecavirus
NODE_2699_length_1217_cov_1.199656	Oslovirus
NODE_2700_length_1216_cov_2.190353	Mooglevirus
NODE_2701_length_1215_cov_1.289655	Otagovirus
NODE_2702_length_1212_cov_2.188418	Alisovirus
NODE_2703_length_1212_cov_1.554019	Dubowvirus
NODE_2704_length_1211_cov_2.769031	Pseudotevenvirus
NODE_2705_length_1211_cov_1.896194	Jesfedecavirus
NODE_2706_length_1211_cov_1.648789	Samistivirus
NODE_2707_length_1210_cov_3.500433	Tequatrovirus
NODE_2708_length_1210_cov_1.595671	Kuttervirus
NODE_2709_length_1209_cov_2.684575	Tequintavirus
NODE_2710_length_1208_cov_2.766696	Cymopoleiavirus
NODE_2711_length_1208_cov_2.623591	Gaprivervirus
NODE_2712_length_1207_cov_5.127604	Kayvirus
NODE_2713_length_1207_cov_2.251736	Wphvirus
NODE_2715_length_1206_cov_5.982624	Kayvirus
NODE_2716_length_1204_cov_3.242820	Gaprivervirus
NODE_2719_length_1203_cov_2.243902	Nezavisimistyvirus
NODE_2720_length_1203_cov_1.837108	Vequintavirus
NODE_2722_length_1202_cov_2.680035	Thornevirus
NODE_2723_length_1201_cov_9.395288	Tequatrovirus
NODE_2724_length_1201_cov_2.829843	Kochikohdavirus
NODE_2725_length_1201_cov_2.534031	Caeruleovirus
NODE_2726_length_1201_cov_1.698080	Otagovirus
NODE_2728_length_1200_cov_1.978166	Nezavisimistyvirus
NODE_2729_length_1199_cov_2.115385	Libanvirus
NODE_2730_length_1199_cov_2.064685	Pseudotevenvirus
NODE_2733_length_1198_cov_1.615048	Unahavirus
NODE_2734_length_1197_cov_1.934326	Jenstvirus
NODE_2735_length_1197_cov_1.663748	Jesfedecavirus
NODE_2736_length_1196_cov_1.469763	Flaumdravirus
NODE_2737_length_1195_cov_2.747368	Alisovirus
NODE_2738_length_1195_cov_1.550877	Pakpunavirus
NODE_2739_length_1194_cov_1.574188	Jesfedecavirus
NODE_2740_length_1194_cov_0.964004	Acadevirus
NODE_2741_length_1193_cov_3.405097	Seoulvirus
NODE_2742_length_1191_cov_1.906690	Suspvirus
NODE_2743_length_1190_cov_2.665198	Jiaodavirus
NODE_2744_length_1190_cov_2.054626	Mooglevirus
NODE_2746_length_1189_cov_2.141093	Bixzunavirus
NODE_2749_length_1188_cov_2.713151	Fukuivirus
NODE_2750_length_1188_cov_1.974404	Samistivirus
NODE_2751_length_1188_cov_1.719329	Tlsvirus
NODE_2753_length_1187_cov_1.617491	Jimmervirus
NODE_2755_length_1186_cov_2.112290	Nonagvirus
NODE_2756_length_1185_cov_1.684956	Jenstvirus
NODE_2757_length_1184_cov_2.133747	Pseudotevenvirus
NODE_2758_length_1184_cov_1.870682	Samistivirus
NODE_2760_length_1183_cov_2.339539	Chiangmaivirus
NODE_2761_length_1183_cov_1.967199	Mooglevirus
NODE_2764_length_1182_cov_2.835847	Pseudotevenvirus
NODE_2765_length_1181_cov_3.154529	Caeruleovirus
NODE_2769_length_1178_cov_4.495993	Wphvirus
NODE_2770_length_1178_cov_3.629564	Wphvirus
NODE_2771_length_1178_cov_2.269813	Chiangmaivirus
NODE_2772_length_1178_cov_2.231523	Tequatrovirus
NODE_2773_length_1177_cov_17.598039	Tequatrovirus
NODE_2774_length_1176_cov_1.382694	Friunavirus
NODE_2775_length_1176_cov_1.083854	Pbunavirus
NODE_2776_length_1175_cov_1.932143	Schiekvirus
NODE_2777_length_1175_cov_1.931250	Derbicusvirus
NODE_2779_length_1175_cov_1.736607	Rockvillevirus
NODE_2780_length_1175_cov_1.577679	Samistivirus
NODE_2781_length_1174_cov_3.571939	Moonvirus
NODE_2784_length_1174_cov_1.240393	Obolenskvirus
NODE_2785_length_1174_cov_1.188561	Bixzunavirus
NODE_2786_length_1173_cov_3.901610	Bequatrovirus
NODE_2787_length_1173_cov_1.601073	Ceduovirus
NODE_2788_length_1172_cov_5.066249	Gelderlandvirus
NODE_2789_length_1172_cov_1.135184	Punavirus
NODE_2790_length_1170_cov_2.296861	Epseptimavirus
NODE_2791_length_1170_cov_2.034978	Pacinivirus
NODE_2792_length_1170_cov_1.808969	Flaumdravirus
NODE_2793_length_1170_cov_1.730045	Sokavirus
NODE_2794_length_1170_cov_1.560538	Pagevirus
NODE_2795_length_1170_cov_1.327354	Lauvirus
NODE_2797_length_1169_cov_1.469479	Dongdastvirus
NODE_2799_length_1167_cov_2.791367	Derbicusvirus
NODE_2803_length_1164_cov_2.769161	Cymopoleiavirus
NODE_2804_length_1163_cov_2.959386	Machinavirus
NODE_2806_length_1163_cov_1.452166	Pakpunavirus
NODE_2808_length_1162_cov_1.958446	Certrevirus
NODE_2810_length_1161_cov_2.707052	Hopescreekvirus
NODE_2811_length_1160_cov_21.789140	Tequatrovirus
NODE_2812_length_1158_cov_1.296464	Rerduovirus
NODE_2813_length_1157_cov_2.335753	Wphvirus
NODE_2814_length_1157_cov_2.176951	Wphvirus
NODE_2815_length_1157_cov_1.926497	Mooglevirus
NODE_2816_length_1156_cov_2.108992	Rockefellervirus
NODE_2817_length_1156_cov_2.000000	Lilyvirus
NODE_2818_length_1154_cov_1.172884	Litunavirus
NODE_2820_length_1152_cov_1.737466	Bixzunavirus
NODE_2821_length_1152_cov_1.601641	Certrevirus
NODE_2822_length_1151_cov_1.708029	Otagovirus
NODE_2823_length_1151_cov_1.465328	Flaumdravirus
NODE_2824_length_1151_cov_1.264599	Nonagvirus
NODE_2826_length_1150_cov_1.833790	Unahavirus
NODE_2827_length_1150_cov_1.593607	Vequintavirus
NODE_2828_length_1150_cov_1.454795	Nezavisimistyvirus
NODE_2829_length_1149_cov_2.046618	Sokavirus
NODE_2830_length_1148_cov_2.060384	Jenstvirus
NODE_2831_length_1147_cov_1.836996	Vequintavirus
NODE_2832_length_1147_cov_1.297619	Omegavirus
NODE_2833_length_1146_cov_1.604950	Friunavirus
NODE_2834_length_1145_cov_1.456881	Bixzunavirus
NODE_2835_length_1145_cov_1.292661	Cheoctovirus
NODE_2836_length_1144_cov_3.197429	Usarudivirus
NODE_2837_length_1143_cov_2.923713	Machinavirus
NODE_2839_length_1143_cov_1.829044	Machinavirus
NODE_2840_length_1143_cov_1.624081	Nezavisimistyvirus
NODE_2842_length_1142_cov_22.750690	Tequatrovirus
NODE_2843_length_1142_cov_3.386385	Hopescreekvirus
NODE_2844_length_1142_cov_2.098436	Suspvirus
NODE_2849_length_1141_cov_2.452118	Caeruleovirus
NODE_2850_length_1140_cov_2.839631	Chiangmaivirus
NODE_2851_length_1140_cov_2.082949	Schiekvirus
NODE_2852_length_1140_cov_1.305069	Hoswirudivirus
NODE_2853_length_1140_cov_0.978802	Pahexavirus
NODE_2855_length_1137_cov_5.250462	Gaprivervirus
NODE_2856_length_1137_cov_3.151571	Gelderlandvirus
NODE_2858_length_1136_cov_2.940796	Wphvirus
NODE_2859_length_1136_cov_2.641998	Sokavirus
NODE_2860_length_1136_cov_2.528215	Sokavirus
NODE_2861_length_1136_cov_1.209066	Smoothievirus
NODE_2863_length_1135_cov_1.429630	Cheoctovirus
NODE_2864_length_1134_cov_2.629286	Cymopoleiavirus
NODE_2865_length_1133_cov_2.812616	Wphvirus
NODE_2866_length_1133_cov_2.641929	Derbicusvirus
NODE_2867_length_1133_cov_2.129870	Caeruleovirus
NODE_2868_length_1132_cov_2.852368	Caeruleovirus
NODE_2869_length_1132_cov_0.976787	Pbunavirus
NODE_2870_length_1131_cov_1.669145	Jesfedecavirus
NODE_2871_length_1131_cov_1.612454	Paundecimvirus
NODE_2872_length_1130_cov_5.168372	Gelderlandvirus
NODE_2873_length_1130_cov_2.610233	Thornevirus
NODE_2876_length_1128_cov_2.183597	Suspvirus
NODE_2877_length_1128_cov_1.326188	Nezavisimistyvirus
NODE_2878_length_1127_cov_1.834888	Triavirus
NODE_2879_length_1127_cov_1.420709	Litunavirus
NODE_2880_length_1126_cov_1.969188	Fukuivirus
NODE_2881_length_1126_cov_1.879552	Efquatrovirus
NODE_2882_length_1125_cov_2.906542	Moonvirus
NODE_2883_length_1125_cov_1.334579	Unaquatrovirus
NODE_2884_length_1124_cov_1.531338	Lilyvirus
NODE_2885_length_1123_cov_2.806180	Sokavirus
NODE_2886_length_1123_cov_1.739700	Flaumdravirus
NODE_2887_length_1123_cov_1.409176	Cecivirus
NODE_2888_length_1122_cov_2.331771	Sokavirus
NODE_2890_length_1121_cov_2.183865	Tulanevirus
NODE_2892_length_1120_cov_1.953991	Flaumdravirus
NODE_2894_length_1120_cov_1.757746	Vequintavirus
NODE_2895_length_1119_cov_5.550752	Kochikohdavirus
NODE_2896_length_1119_cov_3.171053	Gelderlandvirus
NODE_2897_length_1119_cov_2.740602	Wphvirus
NODE_2899_length_1119_cov_1.549812	Bottigliavirus
NODE_2900_length_1119_cov_1.440789	Waukeshavirus
NODE_2901_length_1118_cov_5.101599	Gelderlandvirus
NODE_2902_length_1118_cov_2.090310	Sokavirus
NODE_2903_length_1118_cov_2.065851	Tequintavirus
NODE_2904_length_1117_cov_4.389831	Wphvirus
NODE_2905_length_1117_cov_1.743879	Copernicusvirus
NODE_2906_length_1117_cov_1.622411	Flaumdravirus
NODE_2907_length_1116_cov_1.817154	Otagovirus
NODE_2908_length_1113_cov_2.649338	Alisovirus
NODE_2909_length_1112_cov_4.763482	Neptunevirus
NODE_2910_length_1112_cov_2.754021	Wphvirus
NODE_2911_length_1112_cov_1.704825	Punavirus
NODE_2912_length_1112_cov_1.436140	Unahavirus
NODE_2913_length_1112_cov_1.329234	Dhakavirus
NODE_2914_length_1112_cov_1.128666	Punavirus
NODE_2915_length_1111_cov_2.207386	Derbicusvirus
NODE_2916_length_1111_cov_1.294508	Punavirus
NODE_2917_length_1110_cov_2.825592	Moonvirus
NODE_2919_length_1108_cov_4.057930	Wphvirus
NODE_2920_length_1108_cov_1.821462	Machinavirus
NODE_2921_length_1108_cov_1.031339	Kelleziovirus
NODE_2922_length_1107_cov_3.432510	Mooglevirus
NODE_2923_length_1107_cov_1.744297	Alisovirus
NODE_2924_length_1106_cov_2.484301	Tequintavirus
NODE_2925_length_1106_cov_2.379638	Sokavirus
NODE_2926_length_1106_cov_1.915319	Chiangmaivirus
NODE_2927_length_1106_cov_1.914367	Bottigliavirus
NODE_2928_length_1106_cov_1.607992	Rockvillevirus
NODE_2929_length_1105_cov_2.289524	Moonvirus
NODE_2932_length_1104_cov_1.623451	Bixzunavirus
NODE_2933_length_1104_cov_1.495710	Kuravirus
NODE_2934_length_1103_cov_0.887405	Jesfedecavirus
NODE_2935_length_1101_cov_1.866157	Dhakavirus
NODE_2937_length_1100_cov_1.615311	Pacinivirus
NODE_2938_length_1099_cov_2.614943	Chiangmaivirus
NODE_2940_length_1099_cov_1.542146	Lilyvirus
NODE_2941_length_1099_cov_1.113027	Nankokuvirus
NODE_2943_length_1098_cov_1.996165	Pakpunavirus
NODE_2944_length_1098_cov_1.837967	Citrovirus
NODE_2945_length_1097_cov_1.895393	Nezavisimistyvirus
NODE_2946_length_1097_cov_1.535509	Biseptimavirus
NODE_2948_length_1096_cov_1.523535	Lumosvirus
NODE_2949_length_1096_cov_1.471662	Flaumdravirus
NODE_2950_length_1096_cov_1.082613	Bixzunavirus
NODE_2951_length_1095_cov_1.357692	Demosthenesvirus
NODE_2952_length_1093_cov_2.593449	Tulanevirus
NODE_2954_length_1093_cov_1.154143	Citrovirus
NODE_2955_length_1092_cov_2.996143	Mosigvirus
NODE_2956_length_1092_cov_2.286403	Caeruleovirus
NODE_2957_length_1092_cov_1.777242	Caeruleovirus
NODE_2958_length_1092_cov_1.384764	Lauvirus
NODE_2959_length_1091_cov_5.415058	Gelderlandvirus
NODE_2960_length_1091_cov_2.343629	Caeruleovirus
NODE_2961_length_1091_cov_1.508687	Unaquatrovirus
NODE_2963_length_1091_cov_1.383205	Punavirus
NODE_2964_length_1090_cov_4.347826	Tequatrovirus
NODE_2965_length_1090_cov_2.890821	Derbicusvirus
NODE_2966_length_1090_cov_2.570048	Chiangmaivirus
NODE_2967_length_1089_cov_2.922631	Chalconvirus
NODE_2968_length_1089_cov_2.108317	Waukeshavirus
NODE_2970_length_1088_cov_2.142304	Rudivirus
NODE_2972_length_1088_cov_1.476283	Apdecimavirus
